Ortografia,Cat_Gram,Transcr_Fon,Molde_Sil,Num_Sil,VPret,Altura_VPret,Ponto_VPret,VTon,Altura_VTon,Ponto_VTon,VPost_NaoFinal,Altura_VPost,Ponto_VPost_NaoFinal,VPost_Final,Altura_VPost,Ponto_VPost_Final,RimaTon,Tipo_RimaTon,Acento,Prefixo,Raiz,Sufixo
inaugural,adj,i.naw.gu.r1aw,V.CVG.CV.C1VG,4,u,Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,NA,i.nau.gu.r,al
intuitivo,adj,iN.tu.i.tsh1i.vu,VC.CV.V.C1V.CV,5,i,Alta,Front,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,NA,in.tu,itiv.o
maranhense,adj,ma.r6.nh1eN.si,CV.CV.C1VC.CV,4,6,Média-Alta,Central,e,Média-Alta,Front,NA,NA,NA,i,Alta,Front,eN,coda_nasal,paroxytone,NA,ma.ra.N,ense
obsoleto,adj,o.bi.so.l1e.tu,V.CV.CV.C1V.CV,5,o,Média-Alta,Back,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,e,vogal_oral,paroxytone,NA,ob.so.le,to
paraibano,adj,pa.ra.i.b16.nu,CV.CV.V.C1V.CV,5,i,Alta,Front,6,Média-Alta ,Central,NA,NA,NA,u,Alta,Back,6,vogal_oral,paroxytone,NA,pa.rai.b,ano
retroativo,adj,he.tro.a.tsh1i.v1u,CV.CCV.V.C1V.C1V,5,a,Baixa,Central,i,Alta,Front,NA,NA,NA,NA,Baixa,NA,i,vogal_oral,paroxytone,hetro,a.t,ivo
vergonhoso,adj,veR.go.nh1o.zu,CVC.CV.C1V.CV,4,o,Média-Alta,Back,o,Média-Alta,Back,NA,NA,NA,u,Alta,Back,o,vogal_oral,paroxytone,NA,ver.go.N,oz.o
conveniado,adj,koN.ve.ni.1a.du,CVC.CV.CV.1V.CV,5,i,Alta,Front,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,NA,kon.ve.n,i.ad.o
improcedente,adj,iN.pro.se.d1eN.tshi,VC.CCV.CV.C1VC.CV,5,e,Média-Alta,Front,e,Média-Alta,Front,NA,NA,NA,i,Alta,Front,eN,coda_nasal,paroxytone,iN,pro.se.d,ente
patronal,adj,pa.tro.n1aw,CV.CCV.C1VG,3,o,Média-Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,NA,pa.tr,oN.al
substituto,adj,su.bis.tshi.t1u.tu,CV.CVC.CV.C1V.CV,5,i,Alta,Front,u,Alta,Back,NA,NA,NA,NA,Baixa,NA,u,vogal_oral,paroxytone,NA,subs.ti.tu,o
tomado,adj,to.m1a.du,CV.C1V.CV,3,o,Média-Alta,Back,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,NA,to.m,ad.o
bizarro,adj,bi.z1a.hu,CV.C1V.CV,3,i,Alta,Front,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,NA,bi.za.h,o
cristalino,adj,kris.ta.l1i.nu,CCVC.CV.C1V.CV,4,a,Baixa,Central,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,NA,kris.ta.l,ino
infiel,adj,iN.fi.1ehw,VC.CV.1VG,3,i,Alta,Front,eh,Média-Baixa,Front,NA,NA,NA,NA,Baixa,NA,ehw,ditongo_oral,oxytone,iN,fi.el,NA
mercantil,adj,meR.k6N.tsh1iw,CVC.CVC.C1VG,3,6,Média-Alta,Central,i,Alta,Front,NA,NA,NA,NA,Baixa,NA,iw,ditongo_oral,oxytone,NA,mer.k,antil
saudoso,adj,saw.d1o.zu,CVG.C1V.CV,3,a,Baixa,Central,o,Média-Alta,Back,NA,NA,NA,u,Alta,Back,o,vogal_oral,paroxytone,NA,sau.d,oz.o
terno,adj,t1ehR.nu,C1VC.CV,2,NA,NA,NA,eh,Média-Baixa,Front,NA,NA,NA,u,Alta,Back,ehR,coda_rotica,paroxytone,NA,ter.n,o
unilateral,adj,u.ni.la.te.r1aw,V.CV.CV.CV.C1VG,5,e,Média-Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,uni,la.t,eR.al
adverso,adj,a.dzhi.v1ehR.su,V.CV.C1VC.CV,4,i,Alta,Front,eh,Média-Baixa,Front,NA,NA,NA,u,Alta,Back,ehR,coda_rotica,paroxytone,NA,ad.ver.s,o
ilimitado,adj,i.li.mi.t1a.du,V.CV.CV.C1V.CV,5,i,Alta,Front,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,iN,li.mi.t,ad.o
moreno,adj,mo.r1e.nu,CV.C1V.CV,3,o,Média-Alta,Back,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,e,vogal_oral,paroxytone,NA,mo.re.n,o
paulino,adj,paw.l1i.nu,CVG.C1V.CV,3,a,Baixa,Central,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,NA,pau.l,ino
tocante,adj,to.k16N.tshi,CV.C1VC.CV,3,o,Média-Alta,Back,6,Média-Alta ,Central,NA,NA,NA,i,Alta,Front,6N,coda_nasal,paroxytone,NA,to.k,ante
acidental,adj,a.si.deN.t1aw,V.CV.CVC.C1VG,4,e,Média-Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,NA,a.si.den.t,al
derradeiro,adj,de.ha.d1ej.ru,CV.CV.C1VG.CV,4,a,Baixa,Central,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,ej,ditongo_oral,paroxytone,NA,de.ha.d,eiR.o
marrom,adj,ma.h1owN,CV.C1VC,2,a,Baixa,Central,o,Média-Alta,Back,NA,NA,NA,NA,Baixa,NA,oN,coda_nasal,oxytone,NA,ma.hom,NA
terminal,adj,teR.mi.n1aw,CVC.CV.C1VG,3,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,NA,ter.mi.n,al
doloso,adj,do.l1o.zu,CV.C1V.CV,3,o,Média-Alta,Back,o,Média-Alta,Back,NA,NA,NA,u,Alta,Back,o,vogal_oral,paroxytone,NA,do.l,oz.o
esmagador,adj,iz.ma.ga.d1oR,VC.CV.CV.C1VC,4,a,Baixa,Central,o,Média-Alta,Back,NA,NA,NA,NA,Baixa,NA,oR,coda_rotica,oxytone,NA,es.ma.g,ad.oR
espesso,adj,is.p1e.su,VC.C1V.CV,3,i,Alta,Front,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,e,vogal_oral,paroxytone,NA,es.pe.s,o
motorista,adj,mo.to.r1is.tax,CV.CV.C1VC.CV,4,o,Média-Alta,Back,i,Alta,Front,NA,NA,NA,a,Baixa,Central,iS,coda_sibilante,paroxytone,NA,mo.to.r,ist.a
conjugal,adj,koN.zhu.g1aw,CVC.CV.C1VG,3,u,Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,NA,kon.ju.g,al
controlador,adj,koN.tro.la.d1oR,CVC.CCV.CV.C1VC,4,a,Baixa,Central,o,Média-Alta,Back,NA,NA,NA,NA,Baixa,NA,oR,coda_rotica,oxytone,NA,kon.tro.l,ad.oR
prejudicado,adj,pre.zhu.dzhi.k1a.du,CCV.CV.CV.C1V.CV,5,i,Alta,Front,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,NA,pre.ju,d.ik.ad.o
sensacional,adj,seN.sa.si.o.n1aw,CVC.CV.CV.V.C1VG,5,o,Média-Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,NA,sen.s,aS.ioN.al
acidentado,adj,a.si.deN.t1a.du,V.CV.CVC.C1V.CV,5,e,Média-Alta,Front,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,NA,a.si.den.t,ad.o
apurado,adj,a.pu.r1a.du,V.CV.C1V.CV,4,u,Alta,Back,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,a,pu.r,ad.o
eletivo,adj,e.le.tsh1i.vu,V.CV.C1V.CV,4,e,Média-Alta,Front,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,NA,e.le,tivo
multirracial,adj,muw.tshi.ha.si.1aw,CVG.CV.CV.CV.1VG,5,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,multi,ha.s,i.al
polar,adj,po.l1aR,CV.C1VC,2,o,Média-Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aR,coda_rotica,oxytone,NA,po.l,aR
robusto,adj,ho.b1us.tu,CV.C1VC.CV,3,o,Média-Alta,Back,u,Alta,Back,NA,NA,NA,NA,Baixa,NA,uS,coda_sibilante,paroxytone,NA,ho.bus.t,o
californiano,adj,ka.li.foR.ni.16.nu,CV.CV.CVC.CV.1V.CV,6,i,Alta,Front,6,Média-Alta ,Central,NA,NA,NA,u,Alta,Back,6,vogal_oral,paroxytone,NA,ka.li.for.ni,ano
listado,adj,lis.t1a.du,CVC.C1V.CV,3,i,Alta,Front,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,NA,lis.t,ad.o
prestador,adj,pres.ta.d1oR,CCVC.CV.C1VC,3,a,Baixa,Central,o,Média-Alta,Back,NA,NA,NA,NA,Baixa,NA,oR,coda_rotica,oxytone,NA,pres.t,ad.oR
pretenso,adj,pre.t1eN.su,CCV.C1VC.CV,3,e,Média-Alta,Front,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,eN,coda_nasal,paroxytone,pre,ten.s,o
regimental,adj,he.zhi.meN.t1aw,CV.CV.CVC.C1VG,4,e,Média-Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,NA,he.j,iment.al
selecionado,adj,se.le.si.o.n1a.du,CV.CV.CV.V.C1V.CV,6,o,Média-Alta,Back,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,NA,se.le.s,ioN.ad.o
ambientalista,adj,6N.bi.eN.ta.l1is.tax,VC.CV.VC.CV.C1VC.CV,6,a,Baixa,Central,i,Alta,Front,NA,NA,NA,a,Baixa,Central,iS,coda_sibilante,paroxytone,NA,am.bi.en.t,al.ist.a
cabeludo,adj,ka.be.l1u.du,CV.CV.C1V.CV,4,e,Média-Alta,Front,u,Alta,Back,NA,NA,NA,NA,Baixa,NA,u,vogal_oral,paroxytone,NA,ka.be.l,ud.o
genital,adj,zhe.ni.t1aw,CV.CV.C1VG,3,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,NA,je.ni.t,al
indiscriminado,adj,iN.dzhis.kri.mi.n1a.du,VC.CVC.CCV.CV.C1V.CV,6,i,Alta,Front,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,iN.diS,kri.m,iN.al.iz.ad.o
lazer,adj,la.z1eR,CV.C1VC,2,a,Baixa,Central,e,Média-Alta,Front,NA,NA,NA,NA,Baixa,NA,eR,coda_rotica,oxytone,NA,la.z,eR
revisional,adj,he.vi.zi.o.n1aw,CV.CV.CV.V.C1VG,5,o,Média-Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,he,v,iz.ioN.al
cadastrado,adj,ka.das.tr1a.du,CV.CVC.CC1V.CV,4,a,Baixa,Central,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,NA,ka.das.tr,ad.o
dirigente,adj,dzhi.ri.zh1eN.tshi,CV.CV.C1VC.CV,4,i,Alta,Front,e,Média-Alta,Front,NA,NA,NA,i,Alta,Front,eN,coda_nasal,paroxytone,NA,di.ri.j,ente
entendido,adj,iN.teN.dzh1i.du,VC.CVC.C1V.CV,4,e,Média-Alta,Front,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,NA,en.ten.d,ido
exuberante,adj,e.zu.be.r16N.tshi,V.CV.CV.C1VC.CV,5,e,Média-Alta,Front,6,Média-Alta ,Central,NA,NA,NA,i,Alta,Front,6N,coda_nasal,paroxytone,NA,e.zu.be.r,ante
hediondo,adj,e.dzhi.1owN.du,V.CV.1VC.CV,4,i,Alta,Front,o,Média-Alta,Back,NA,NA,NA,u,Alta,Back,oN,coda_nasal,paroxytone,NA,e.di.on.d,o
meso,adj,m1e.zu,C1V.CV,2,NA,NA,NA,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,e,vogal_oral,paroxytone,NA,me.z,o
rodado,adj,ho.d1a.du,CV.C1V.CV,3,o,Média-Alta,Back,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,NA,ho.d,ad.o
vaidoso,adj,vaj.d1o.zu,CVG.C1V.CV,3,a,Baixa,Central,o,Média-Alta,Back,NA,NA,NA,u,Alta,Back,o,vogal_oral,paroxytone,NA,vai.d,oz.o
abandonado,adj,a.b6N.do.n1a.du,V.CVC.CV.C1V.CV,5,o,Média-Alta,Back,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,NA,a.ban.do.n,ad.o
alarmante,adj,a.laR.m16N.tshi,V.CVC.C1VC.CV,4,a,Baixa,Central,6,Média-Alta ,Central,NA,NA,NA,i,Alta,Front,6N,coda_nasal,paroxytone,NA,a.lar.m,ante
ameno,adj,a.m1e.nu,V.C1V.CV,3,a,Baixa,Central,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,e,vogal_oral,paroxytone,NA,a.me.n,o
embutido,adj,iN.bu.tsh1i.du,VC.CV.C1V.CV,4,u,Alta,Back,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,NA,em.bu.t,ido
revelador,adj,he.ve.la.d1oR,CV.CV.CV.C1VC,4,a,Baixa,Central,o,Média-Alta,Back,NA,NA,NA,NA,Baixa,NA,oR,coda_rotica,oxytone,NA,he.ve.l,ad.oR
trivial,adj,tri.vi.1aw,CCV.CV.1VG,3,i,Alta,Front,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,tri,vi,al
cientista,adj,si.eN.tsh1is.tax,CV.VC.C1VC.CV,4,e,Média-Alta,Front,i,Alta,Front,NA,NA,NA,a,Baixa,Central,iS,coda_sibilante,paroxytone,NA,si.en.t,ist.a
conclusivo,adj,koN.klu.z1i.vu,CVC.CCV.C1V.CV,4,u,Alta,Back,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,koN,klu,zivo
conseguinte,adj,koN.se.g1iN.tshi,CVC.CV.C1VC.CV,4,e,Média-Alta,Front,i,Alta,Front,NA,NA,NA,NA,Baixa,NA,iN,coda_nasal,paroxytone,koN,se.g,inte
contundente,adj,koN.tuN.d1eN.tshi,CVC.CVC.C1VC.CV,4,u,Alta,Back,e,Média-Alta,Front,NA,NA,NA,i,Alta,Front,eN,coda_nasal,paroxytone,NA,kon.tun.d,ente
federativo,adj,fe.de.ra.tsh1i.vu,CV.CV.CV.C1V.CV,5,a,Baixa,Central,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,NA,fe.de.r,ativ.o
infringentes,adj,iN.friN.zh1eN.tshis,VC.CCVC.C1VC.CVC,4,i,Alta,Front,e,Média-Alta,Front,NA,NA,NA,i,Alta,Front,eN,coda_nasal,paroxytone,NA,in.frin.j,entes
irradiante,adj,i.ha.dzhi.16N.tshi,V.CV.CV.1VC.CV,5,i,Alta,Front,6,Média-Alta ,Central,NA,NA,NA,i,Alta,Front,6N,coda_nasal,paroxytone,iN,ha.di,ante
junino,adj,zu.n1i.nu,CV.C1V.CV,3,u,Alta,Back,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,NA,ju.n,ino
nascente,adj,na.s1eN.tshi,CV.C1VC.CV,3,a,Baixa,Central,e,Média-Alta,Front,NA,NA,NA,i,Alta,Front,eN,coda_nasal,paroxytone,NA,na.s,ente
preconceituoso,adj,pre.koN.sej.tu.1o.zu,CCV.CVC.CVG.CV.1V.CV,6,u,Alta,Back,o,Média-Alta,Back,NA,NA,NA,u,Alta,Back,o,vogal_oral,paroxytone,pre,kon.sei.t,u.oz.o
repentino,adj,he.pen.tsh1i.nu,CV.CVC.C1V.CV,4,e,Média-Alta,Front,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,NA,he.pen.t,ino
singelo,adj,sin.zh1eh.lu,CVC.C1V.CV,3,i,Alta,Front,eh,Média-Baixa,Front,NA,NA,NA,u,Alta,Back,eh,vogal_oral,paroxytone,NA,sin.je.l,o
alvo,adj,1aw.vu,1VG.CV,2,NA,NA,NA,a,Baixa,Central,NA,NA,NA,u,Alta,Back,aw,ditongo_oral,paroxytone,NA,al.v,o
amado,adj,a.m1a.du,V.C1V.CV,3,a,Baixa,Central,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,NA,a.m,ad.o
conjuntural,adj,koN.zhuN.tu.r1aw,CVC.CVC.CV.C1VG,4,u,Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,koN,jun.t,uR.al
falido,adj,fa.l1i.du,CV.C1V.CV,3,a,Baixa,Central,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,NA,fa.l,ido
pintado,adj,piN.t1a.du,CVC.C1V.CV,3,i,Alta,Front,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,NA,pin.t,ad.o
saboroso,adj,sa.bo.r1o.zu,CV.CV.C1V.CV,4,o,Média-Alta,Back,o,Média-Alta,Back,NA,NA,NA,u,Alta,Back,o,vogal_oral,paroxytone,NA,sa.bo.r,oz.o
anormal,adj,a.noR.m1aw,V.CVC.C1VG,3,o,Média-Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,a,nor.m,al
barulhento,adj,ba.ru.lh1eN.tu,CV.CV.C1VC.CV,4,u,Alta,Back,e,Média-Alta,Front,NA,NA,NA,u,Alta,Back,eN,coda_nasal,paroxytone,NA,ba.ru.L,ento
causal,adj,kaw.z1aw,CVG.C1VG,2,a,Baixa,Central,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,NA,kau.z,al
droga,adj,dr1oh.gax,CC1V.CV,2,NA,NA,NA,oh,Média-Baixa,Back,NA,NA,NA,a,Baixa,Central,oh,vogal_oral,paroxytone,NA,dro.g,a
gracioso,adj,gra.si..1o.zu,CCV.CV..1V.CV,5,i,Alta,Front,o,Média-Alta,Back,NA,NA,NA,u,Alta,Back,o,vogal_oral,paroxytone,NA,gra.s,i.oz.o
imoral,adj,i.mo.r1aw,V.CV.C1VG,3,o,Média-Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,iN,mo.ral,NA
indignado,adj,iN.dzhi.gi.n1a.du,VC.CV.CV.C1V.CV,5,i,Alta,Front,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,iN,dig.n,ad.o
recolhido,adj,he.ko.l1i.du,CV.CV.C1V.CV,4,o,Média-Alta,Back,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,he,ko.L,ido
retrasado,adj,he.tra.z1a.du,CV.CCV.C1V.CV,4,a,Baixa,Central,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,he,tra.z,ad.o
sorridente,adj,so.hi.d1eN.tshi,CV.CV.C1VC.CV,4,i,Alta,Front,e,Média-Alta,Front,NA,NA,NA,i,Alta,Front,eN,coda_nasal,paroxytone,NA,so.hi,dente
argelino,adj,aR.zhe.l1i.nu,VC.CV.C1V.CV,4,e,Média-Alta,Front,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,NA,ar.je.l,ino
discursivo,adj,dzhis.kuR.s1i.vu,CVC.CVC.C1V.CV,4,u,Alta,Back,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,NA,dis.kur.s,ivo
estudado,adj,is.tu.d1a.du,VC.CV.C1V.CV,4,u,Alta,Back,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,NA,es.tu.d,ad.o
indicador,adj,iN.dzhi.ka.d1oR,VC.CV.CV.C1VC,4,a,Baixa,Central,o,Média-Alta,Back,NA,NA,NA,NA,Baixa,NA,oR,coda_rotica,oxytone,NA,in.di.k,ad.oR
jurisdicional,adj,zhu.riz.dzhi.si.o.n1aw,CV.CVC.CV.CV.V.C1VG,6,o,Média-Alta,Back,a,Baixa,Central,NA,NA,NA,NA,Baixa,NA,aw,ditongo_oral,oxytone,NA,ju.ris,diS.ioN.al
molhado,adj,mo.lh1a.du,CV.C1V.CV,3,o,Média-Alta,Back,a,Baixa,Central,NA,NA,NA,u,Alta,Back,a,vogal_oral,paroxytone,NA,mo.L,ad.o
oposicionista,adj,o.po.zi.si.o.n1is.tax,V.CV.CV.CV.V.C1VC.CV,7,o,Média-Alta,Back,i,Alta,Front,NA,NA,NA,a,Baixa,Central,iS,coda_sibilante,paroxytone,NA,o.po,ziS.ioN.ist.a
anexo,adj,a.n1eh.ksu,V.C1V.CCV,3,a,Baixa,Central,eh,Média-Baixa,Front,NA,NA,NA,u,Alta,Back,eh,vogal_oral,paroxytone,NA,a.nek.s,o
auditivo,adj,aw.dzhi.tsh1i.vu,VG.CV.C1V.CV,4,i,Alta,Front,i,Alta,Front,NA,NA,NA,u,Alta,Back,i,vogal_oral,paroxytone,NA,au.di,tivo
